PLAYER_ID,PLAYER_NAME,SEASON,GP,MIN,PTS,AST,REB,STL,BLK,TOV,FG_PCT,FG3_PCT,FT_PCT,PLUS_MINUS,TARGET_NEXT,NEXT_SEASON
203078,Bradley Beal,2019-20,57,36.0,30.5,6.1,4.2,1.2,0.4,3.4,0.455,0.353,0.842,-3.5,31.3,2020-21
203078,Bradley Beal,2020-21,60,35.8,31.3,4.4,4.7,1.2,0.4,3.1,0.485,0.349,0.889,-0.1,23.2,2021-22
203078,Bradley Beal,2021-22,40,36.0,23.2,6.6,4.7,0.9,0.4,3.4,0.451,0.3,0.833,-2.6,23.2,2022-23
203078,Bradley Beal,2022-23,50,33.5,23.2,5.4,3.9,0.9,0.7,2.9,0.506,0.365,0.842,0.8,18.2,2023-24
203081,Damian Lillard,2019-20,66,37.5,30.0,8.0,4.3,1.1,0.3,2.9,0.463,0.401,0.888,1.3,28.8,2020-21
203081,Damian Lillard,2020-21,67,35.8,28.8,7.5,4.2,0.9,0.3,3.0,0.451,0.391,0.928,3.0,24.0,2021-22
203081,Damian Lillard,2021-22,29,36.4,24.0,7.3,4.1,0.6,0.4,2.9,0.402,0.324,0.878,-1.0,32.2,2022-23
203081,Damian Lillard,2022-23,58,36.3,32.2,7.3,4.8,0.9,0.3,3.3,0.463,0.371,0.914,1.8,24.3,2023-24
203082,Terrence Ross,2019-20,69,27.4,14.7,1.2,3.2,1.1,0.3,1.0,0.403,0.351,0.853,-1.0,15.6,2020-21
203082,Terrence Ross,2020-21,46,29.3,15.6,2.3,3.4,1.0,0.5,1.6,0.412,0.337,0.87,-5.1,10.0,2021-22
203082,Terrence Ross,2021-22,63,23.0,10.0,1.8,2.6,0.4,0.2,1.2,0.397,0.292,0.862,-5.5,8.3,2022-23
203083,Andre Drummond,2019-20,57,33.0,17.7,2.7,15.2,1.9,1.6,3.6,0.533,0.143,0.575,-3.4,14.9,2020-21
203083,Andre Drummond,2020-21,46,27.0,14.9,2.0,12.0,1.4,1.1,2.7,0.493,0.0,0.6,-2.3,7.9,2021-22
203083,Andre Drummond,2021-22,73,19.7,7.9,1.8,9.3,1.1,0.9,1.6,0.57,0.0,0.524,0.5,6.0,2022-23
203083,Andre Drummond,2022-23,67,12.7,6.0,0.5,6.6,0.7,0.4,1.1,0.606,0.0,0.536,0.4,8.4,2023-24
203084,Harrison Barnes,2019-20,72,34.5,14.5,2.2,4.9,0.6,0.2,1.2,0.46,0.381,0.801,-1.7,16.1,2020-21
203084,Harrison Barnes,2020-21,58,36.2,16.1,3.5,6.6,0.7,0.2,1.6,0.497,0.391,0.83,-1.0,16.4,2021-22
